,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,EUR Price,Country1,City1,Type_split,Fuel,Price_Category
1988,Sport Boat,AXOPAR power boats,"new boat on order,Unleaded",2020,9.4,2.95,GRP,201,130000,Poland , In Produktion,new boat on order,Unleaded,High-priced
1990,Deck Boat,Sealine power boats,"Used boat,Diesel",2002,13,4.05,GRP,242,130000,French Southern Territories , Port de Beaulieu,Used boat,Diesel,High-priced
1991,Cabin Boat,Airon Marine power boats,"Used boat,Unleaded",2003,10.19,3.07,GRP,122,147900,Switzerland , Lago Maggiore ,Used boat,Unleaded,High-priced
1994,Wakeboard/Wakesurf,Nautique power boats,new boat from stock,2020,7.35,2.54,GRP,115,134000,Germany , Rheinland-Pfalz ,new boat from stock,Unleaded,High-priced
1995,Trawler,Smelne power boats,Used boat,1996,13.8,4.25,Steel,124,134000,Netherlands , Maastricht (NL),Used boat,Unleaded,High-priced
1996,Cabin Boat,Sea Ray power boats,new boat from stock,2020,8.1,2.56,GRP,145,133900,Germany , Boote Pfister GmbH Schwebheim / Schweinfurt,new boat from stock,Unleaded,High-priced
1997,Flybridge,Storebro power boats,Used boat,1994,11.77,3.85,GRP,156,129350,Denmark , Nordjylland,Used boat,Unleaded,High-priced
1999,Motor Yacht,Man power boats,"Used boat,Diesel",2008,12,3.94,GRP,21,133500,Italy , Adria,Used boat,Diesel,High-priced
2000,Motor Yacht,Man power boats,"Used boat,Diesel",2008,12,3.94,GRP,35,133500,Italy , Adria,Used boat,Diesel,High-priced
2001,Sport Boat,Heinrich power boats,"Used boat,Diesel",2008,8,2.5,GRP,154,146880,Switzerland , Lake Constance ,Used boat,Diesel,High-priced
2003,Flybridge,Edership power boats,"Used boat,Diesel",1991,18,5,GRP,118,133000,Croatia (Hrvatska) , Istra,Used boat,Diesel,High-priced
2010,Flybridge,Menorquin power boats,"Used boat,Diesel",2006,11.34,3.76,GRP,91,135000,Spain , Mallorca ,Used boat,Diesel,High-priced
2011,Sport Boat,Fratelli Aprea power boats,"Used boat,Diesel",2005,9.6,3.9,GRP,33,135000,Croatia (Hrvatska),Unknown,Used boat,Diesel,High-priced
2012,Motor Yacht,Sea Ray power boats,Used boat,1992,15,4.65,GRP,110,135000,Germany , Hamburg ,Used boat,Diesel,High-priced
2014,Flybridge,Neptunus power boats,Used boat,1996,12.9,4.2,GRP,65,135000,Netherlands , Hellevoetsluis (NL),Used boat,Diesel,High-priced
2015,Trawler,Hollandia power boats,"Used boat,Diesel",2012,10.8,3.5,Steel,176,135000,Germany , Berlin ,Used boat,Diesel,High-priced
2016,"Classic,Motor Yacht",Vertens power boats,"Used boat,Diesel",1980,13.6,3.94,Wood,93,135000,Germany , 14467 Potsdam,Used boat,Diesel,High-priced
2017,Center console boat,Innovazioni e Progetti power boats,Used boat,2005,12.66,4.15,GRP,65,135000,Italy , Campania ,Used boat,Diesel,High-priced
2019,Pilothouse,Menorquin power boats,"Used boat,Diesel",2005,12.47,3.9,PVC,103,135000,France ," Grimaud, Grimaud",Used boat,Diesel,High-priced
2020,Pilothouse,Bnteau power boats,"new boat from stock,Unleaded",2019,9,2,PVC,47,135000,France ," Avignon, France",new boat from stock,Unleaded,High-priced
2021,Motor Yacht,Airon Marine power boats,"Used boat,Diesel",2006,13.45,3.74,PVC,94,139000,France ," Cogolin, France",Used boat,Diesel,High-priced
2024,Motor Yacht,Smelne power boats,Used boat,2000,12.65,4,Steel,90,139000,Netherlands , In verkoophaven,Used boat,Diesel,High-priced
2026,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2005,11.93,3.5,GRP,223,139000,Italy , Lake Garda ,Used boat,Diesel,High-priced
2027,"Classic,Runabout",Chris Craft power boats,"Used boat,Electric",1958,5.5,2,Wood,78,139000,Austria , REIFNITZ AM WÃRTHERSEE,Used boat,Electric,High-priced
2028,"Cabin Boat,Hardtop,Trawler",Greenline power boats,"Used boat,Diesel",2013,9.99,3.47,GRP,506,139000,Germany , Berlin ,Used boat,Diesel,High-priced
2029,Motor Yacht,De Boarnstream power boats,"Used boat,Diesel",2006,10.7,3.65,Steel,1621,139000,Germany , Mosel ,Used boat,Diesel,High-priced
2030,"Motor Yacht,Sport Boat",Bavaria power boats,"Used boat,Diesel",2006,12.95,4.28,GRP,439,139000,Italien ,Unknown,Used boat,Diesel,High-priced
2031,Flybridge,Bnteau power boats,"Used boat,Diesel",2017,10.22,3.35,PVC,111,139000,France ," Bormes Les Mimosas, France",Used boat,Diesel,High-priced
2032,Motor Yacht,De Boarnstream power boats,"Used boat,Diesel",2006,10.5,3.65,Steel,205,139000,Germany , Mosel ,Used boat,Diesel,High-priced
2033,Cabin Boat,Bayliner power boats,"new boat from stock,Unleaded",2020,8.15,2.55,GRP,249,138810,Germany , Lake Constance ,new boat from stock,Unleaded,High-priced
2034,Flybridge,Viking Marin power boats,"Used boat,Diesel",2007,9.85,3.35,GRP,277,153000,Switzerland , Lago Maggiore ,Used boat,Diesel,High-priced
2036,Motor Yacht,Azimut power boats,"Used boat,Diesel",1998,13.5,4.45,GRP,333,140000,Brandenburg ,Unknown,Used boat,Diesel,High-priced
2037,Motor Yacht,Gobbi power boats,"Used boat,Diesel",2005,14,4.02,GRP,111,140000,Italy , Mar Tirreno,Used boat,Diesel,High-priced
