,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,EUR Price,Country1,City1,Type_split,Fuel,Price_Category
1923,Flybridge,Edership power boats,"Used boat,Diesel",1991,14,4,GRP,143,120000,Croatia (Hrvatska) , Dalmatia,Used boat,Diesel,High-priced
1924,Center console boat,Sarnico power boats,"Used boat,Diesel",1996,16.5,4.5,GRP,73,120000,Italy , Toscana ,Used boat,Diesel,High-priced
1925,Sport Boat,Italversil power boats,"Used boat,Diesel",1990,11.96,2.7,GRP,71,120000,Italy , Toscana ,Used boat,Diesel,High-priced
1926,Motor Yacht,Elan power boats,"Used boat,Diesel",2007,11.01,3.5,GRP,224,120000,Croatia (Hrvatska) , INFO DD-YACHTING,Used boat,Diesel,High-priced
1927,Center console boat,Prinz power boats,"Used boat,Diesel",2008,11.4,3.85,GRP,113,120000,Spain,Unknown,Used boat,Diesel,High-priced
1928,Flybridge,Mochi Craft power boats,"Used boat,Diesel",1995,14.38,4.63,GRP,75,125000,Italy , Campania ,Used boat,Diesel,High-priced
1929,Flybridge,Bnteau power boats,"Used boat,Diesel",2009,11.37,3.85,PVC,115,125000,France ," LORIENT, France",Used boat,Diesel,High-priced
1930,Fishing Boat,Bertram power boats,"Used boat,Diesel",1991,11.25,3.95,GRP,96,125000,France , PACA,Used boat,Diesel,High-priced
1932,Cabin Boat,Cranchi power boats,"Used boat,Diesel",2010,10.35,3.49,GRP,83,125000,France , CÃ´te d'Azur ,Used boat,Diesel,High-priced
1934,Motor Yacht,Astor power boats,"Used boat,Diesel",1994,11.33,4.01,GRP,141,124900,Germany , Nordrhein-Westfalen ,Used boat,Diesel,High-priced
1938,Cabin Boat,Regal power boats,new boat on order,2020,7.9,2.5,GRP,89,124900,Germany , Herford,new boat on order,Diesel,High-priced
1939,Motor Yacht,Grandezza power boats,"Used boat,Diesel",2014,8.3,2.85,GRP,255,124900,Croatia (Hrvatska) , Dalmatien ,Used boat,Diesel,High-priced
1940,Motor Yacht,Sealine power boats,"Used boat,Diesel",1994,13,4.16,GRP,291,124900,Germany , Ostsee ,Used boat,Diesel,High-priced
1941,Motor Yacht,Sealine power boats,"Used boat,Diesel",1994,12.81,4.16,GRP,151,124900,Germany , Raum LÃ¼beck,Used boat,Diesel,High-priced
1943,Motor Yacht,Cobra Yachts power boats,"new boat from stock,Diesel",2019,11,3.5,GRP,325,124712,Poland , Werft,new boat from stock,Diesel,High-priced
1944,Motor Yacht,Baia power boats,"Used boat,Diesel",1999,14.94,4.11,GRP,73,114950,United Kingdom , Southampton,Used boat,Diesel,High-priced
1945,Hardtop,Jeanneau power boats,"Used boat,Diesel",2012,9.14,3.05,PVC,71,114950,United Kingdom ," Lincoln, Lincoln",Used boat,Diesel,High-priced
1946,Motor Yacht,Neptunus power boats,"Used boat,Diesel",2001,12.96,3.78,GRP,70,126000,Spain , Altea,Used boat,Diesel,High-priced
1947,Motor Yacht,Bnteau power boats,"Used boat,Diesel",2006,12.62,3.99,PVC,100,126000,France ," PORNICHET, France",Used boat,Diesel,High-priced
1948,Pilothouse,Maxum power boats,"Used boat,Unleaded",2007,10.64,3.71,GRP,70,125990,Croatia (Hrvatska) , NOVIGRAD,Used boat,Unleaded,High-priced
1949,Deck Boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,9.12,2.98,PVC,33,125900,France ," LA ROCHELLE, LA ROCHELLE",new boat from stock,Unleaded,High-priced
1950,Flybridge,Cranchi power boats,"Used boat,Diesel",1995,12.39,3.84,GRP,255,137700,Switzerland , Stansstad,Used boat,Diesel,High-priced
1951,Wakeboard/Wakesurf,Nautique power boats,"Used boat,Unleaded",2017,7.7,2.59,GRP,780,138720,Switzerland , Schmerikon,Used boat,Unleaded,High-priced
1952,Motor Yacht,Viper power boats,"new boat from stock,Unleaded",2020,8.65,2.59,GRP,242,138046.8,Germany , Lake Constance ,new boat from stock,Unleaded,High-priced
1953,Motor Yacht,Rizzardi power boats,"Used boat,Diesel",1995,17.6,4.6,GRP,58,125000,Italy , Mar Tirreno,Used boat,Diesel,High-priced
1954,Cabin Boat,Atlantis power boats,"Used boat,Diesel",2007,10.67,3.6,GRP,364,125000,Germany , Lake Constance ,Used boat,Diesel,High-priced
1955,Motor Yacht,Princess power boats,"Used boat,Diesel",1999,12.53,3.73,GRP,464,125000,Portugal , South Of,Used boat,Diesel,High-priced
1957,Runabout,Cranchi power boats,"Used boat,Unleaded",2017,9,3,GRP,155,125000,Italy , Lago Maggiore ,Used boat,Unleaded,High-priced
1959,Pilothouse,Bnteau power boats,"new boat from stock,Unleaded",2019,9.1,2.98,PVC,28,129000,France ," MARTIGUES, France",new boat from stock,Unleaded,High-priced
1960,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2015,10.13,2.96,GRP,142,129000,Spain , Mallorca ,Used boat,Unleaded,High-priced
1961,Motor Yacht,Windy power boats,"Used boat,Diesel",2004,11.96,3.41,GRP,119,129000,Spain , Alicante,Used boat,Diesel,High-priced
1962,Hardtop,Seaway power boats,Used boat,2012,9.99,3.49,GRP,162,129000,Germany , RÃ¼gen,Used boat,Diesel,High-priced
1963,Motor Yacht,Atlantis power boats,"Used boat,Diesel",2007,12.04,4,GRP,98,129000,Italy , Sardegna ,Used boat,Diesel,High-priced
1964,Flybridge,ACM Dufour power boats,"Used boat,Diesel",2008,11.75,3.71,PVC,118,129000,France ," GRIMAUD, GRIMAUD",Used boat,Diesel,High-priced
1965,Flybridge,Edership power boats,"Used boat,Diesel",1991,18,5.43,GRP,274,129000,Croatia (Hrvatska),Unknown,Used boat,Diesel,High-priced
1966,Trawler,Mainship power boats,"Used boat,Diesel",2007,11,4.32,GRP,58,129000,Turkey , Mu?la,Used boat,Diesel,High-priced
1967,Trawler,Gillissen power boats,"Used boat,Diesel",1995,13.5,4.05,Steel,86,129000,Netherlands , In verkoophaven,Used boat,Diesel,High-priced
1969,Flybridge,Sealine power boats,"Used boat,Diesel",2004,11.75,3.78,GRP,157,129000,Croatia (Hrvatska) , Sukosan/HR,Used boat,Diesel,High-priced
1972,Motor Yacht,Sessa power boats,Used boat,2009,12.9,3.86,GRP,83,129000,Malta,Unknown,Used boat,Diesel,High-priced
1974,Trawler,Smelne power boats,Used boat,2005,11.2,3.8,Steel,81,129000,Netherlands , In verkoophaven,Used boat,Diesel,High-priced
1975,Deck Boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,7.96,2.98,GRP,40,130000,Italy , Mar Ligure,new boat from stock,Unleaded,High-priced
1978,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1998,13.41,4.24,GRP,100,130000,Spain , Mallorca ,Used boat,Diesel,High-priced
1979,Motor Yacht,3B Craft power boats,"Used boat,Diesel",2005,11.7,3.33,GRP,36,130000,Italy , Mar Tirreno,Used boat,Diesel,High-priced
1980,Flybridge,Birchwood power boats,"Used boat,Diesel",1987,13.51,4.56,GRP,54,130000,Italy,Unknown,Used boat,Diesel,High-priced
1982,Motor Yacht,Azimut power boats,Used boat,1997,12.35,3.98,GRP,128,130000,Italy , Campania ,Used boat,Diesel,High-priced
1983,Center console boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,9.12,2.98,PVC,95,130000,France ," PORNICHET, France",new boat from stock,Unleaded,High-priced
1984,Motor Yacht,Doqueve power boats,"Used boat,Diesel",2003,11.89,3.66,GRP,32,130000,Spain , Costa Brava,Used boat,Diesel,High-priced
1985,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2002,14.11,4.24,GRP,129,130000,Spain , Marbella,Used boat,Diesel,High-priced
1986,Flybridge,Bnteau power boats,"Used boat,Diesel",2015,10.22,3.33,PVC,115,130000,Spain ," Zumaya, Espagne",Used boat,Diesel,High-priced
